sales,type,price,engine,horsepow,wheelbas,width,length,weight,fuelcap,mpg
32.775,Automobile,24.495,2.5,168,106,69.2,193,3.332,16,24
31.148,Automobile,22.245,2.7,200,113,74.4,209.1,3.452,17,26
32.306,Automobile,16.48,2,132,108,71,186,2.911,16,27
13.462,Automobile,28.34,3.5,253,113,74.4,207.7,3.564,17,23
53.48,Truck,,,,,,,,,
30.696,Automobile,29.185,3.5,253,113,74.4,197.8,3.567,17,23
76.034,Automobile,12.64,2,132,105,74.4,174.4,2.567,12.5,29
4.734,Automobile,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24
71.186,Automobile,20.23,2.5,168,108,71,186,3.058,16,24
88.028,Automobile,22.505,2.7,202,113,74.7,203.7,3.489,17,
0.916,Automobile,69.725,8,450,96.2,75.7,176.7,3.375,19,16
227.061,Truck,19.46,5.2,230,138.7,79.3,224.2,4.47,26,17
16.767,Truck,21.315,3.9,175,109.6,78.8,192.6,4.245,32,15
31.038,Truck,18.575,3.9,175,127.2,78.8,208.5,4.298,32,16
111.313,Truck,16.98,2.5,120,131,71.5,215,3.557,22,19
101.323,Truck,26.31,5.2,230,115.7,71.7,193.5,4.394,25,17
181.749,Truck,19.565,2.4,150,113.3,76.8,186.3,3.533,20,24
70.227,Automobile,12.07,2,110,98.4,67,174.7,2.468,12.7,30
113.369,Automobile,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24
35.068,Automobile,17.035,2.5,170,106.5,69.1,184.6,2.769,15,25
245.815,Automobile,17.885,3,155,108.5,73,197.6,3.368,16,24
175.67,Automobile,12.315,2,107,103,66.9,174.8,2.564,13.2,30
63.403,Automobile,22.195,4.6,200,114.7,78.2,212,3.908,19,21
276.747,Truck,31.93,4,210,111.6,70.2,190.7,3.876,21,19
155.787,Truck,21.41,3,150,120.7,76.6,200.9,3.761,26,21
125.338,Truck,36.135,4.6,240,119,78.7,204.6,4.808,26,16
220.65,Truck,12.05,2.5,119,117.5,69.4,200.7,3.086,20,23
540.561,Truck,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1,18
199.685,Automobile,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32
230.902,Automobile,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27
73.203,Truck,20.55,2,146,103.2,68.9,177.6,3.219,15.3,24
12.855,Truck,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19
76.029,Truck,26,3.5,210,118.1,75.6,201.2,4.288,20,23
41.184,Automobile,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31
66.692,Automobile,11.799,2,140,100.4,66.9,174,2.626,14.5,27
29.45,Automobile,14.999,2.4,148,106.3,71.6,185.4,3.072,17.2,25
23.713,Automobile,29.465,3,227,108.3,70.2,193.7,3.342,18.5,25
15.467,Automobile,42.8,3,240,114.5,71.6,191.3,3.65,18.4,21
55.557,Truck,14.46,2.5,120,93.4,66.7,152,3.045,19,17
80.556,Truck,21.62,4,190,101.4,69.4,167.5,3.194,20,20
157.04,Truck,26.895,4,195,105.9,72.3,181.5,3.88,20.5,19
24.072,Automobile,31.505,3,210,105.1,70.5,190.2,3.373,18.5,23
12.698,Automobile,37.805,3,225,110.2,70.9,189.2,3.638,19.8,23
3.334,Automobile,46.305,4,300,110.2,70.9,189.2,3.693,19.8,21
6.375,Automobile,54.005,4,290,112.2,72,196.7,3.89,22.5,22
9.126,Truck,60.105,4.7,230,112.2,76.4,192.5,5.401,25.4,15
51.238,Truck,34.605,3,220,103,71.5,180.1,3.9,17.2,21
13.798,Automobile,39.08,4.6,275,109,73.6,208.5,3.868,20,22
48.911,Automobile,43.33,4.6,215,117.7,78.2,215.3,4.121,19,21
22.925,Truck,42.66,5.4,300,119,79.9,204.8,5.393,30,15
26.232,Automobile,13.987,1.8,113,98.4,66.5,173.6,2.25,13.2,30
42.541,Automobile,19.047,2.4,154,100.8,68.9,175.4,2.91,15.9,24
55.616,Automobile,17.357,2.4,145,103.7,68.5,187.8,2.945,16.3,25
5.711,Automobile,24.997,3.5,210,107.1,70.3,194.1,3.443,19,22
0.11,Automobile,25.45,3,161,97.2,72.4,180.3,3.131,19.8,21
11.337,Truck,31.807,3.5,200,107.3,69.9,186.6,4.52,24.3,18
39.348,Truck,22.527,3,173,107.3,66.7,178.3,3.51,19.5,20
14.351,Automobile,16.24,2,125,106.5,69.1,184.8,2.769,15,28
26.529,Automobile,16.54,2,125,106.4,69.6,185,2.892,16,30
67.956,Automobile,19.035,3,153,108.5,73,199.7,3.379,16,24
81.174,Automobile,22.605,4.6,200,114.7,78.2,212,3.958,19,21
27.609,Truck,27.56,4,210,111.6,70.2,190.1,3.876,21,18
20.38,Truck,22.51,3.3,170,112.2,74.9,194.7,3.944,20,21
18.392,Automobile,31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26
27.602,Automobile,49.9,3.2,221,111.5,70.8,189.4,3.823,21.1,25
16.774,Automobile,69.7,4.3,275,121.5,73.1,203.1,4.133,23.2,21
3.311,Automobile,82.6,5,302,99,71.3,177.1,4.125,21.1,20
7.998,Automobile,38.9,2.3,190,94.5,67.5,157.9,3.055,15.9,26
1.526,Automobile,41,2.3,185,94.5,67.5,157.3,2.975,14,27
11.592,Automobile,41.6,3.2,215,105.9,67.8,180.3,3.213,16.4,26
0.954,Automobile,85.5,5,302,113.6,73.1,196.6,4.115,23.2,20
28.976,Truck,35.3,3.2,215,111,72.2,180.6,4.387,19,20
42.643,Automobile,13.499,1.8,126,99.8,67.3,177.5,2.593,13.2,30
88.094,Automobile,20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25
79.853,Automobile,26.249,3,222,108.3,70.3,190.5,3.294,18.5,25
27.308,Truck,26.399,3.3,170,112.2,74.9,194.8,3.991,20,21
42.574,Truck,29.299,3.3,170,106.3,71.7,182.6,3.947,21,19
54.158,Truck,22.799,3.3,170,104.3,70.4,178,3.821,19.4,18
65.005,Truck,17.89,3.3,170,116.1,66.5,196.1,3.217,19.4,18
1.112,Automobile,18.145,3.1,150,107,69.4,192,3.102,15.2,25
38.554,Automobile,24.15,3.5,215,109,73.6,195.9,3.455,18,
80.255,Automobile,18.27,2.4,150,107,70.1,186.7,2.958,15,27
14.69,Automobile,36.229,4,250,113.8,74.4,205.4,3.967,18.5,22
20.017,Truck,31.598,4.3,190,107,67.8,181.2,4.068,17.5,19
24.361,Truck,25.345,3.4,185,120,72.2,201.4,3.948,25,22
32.734,Automobile,12.64,2,132,105,74.4,174.4,2.559,12.5,29
5.24,Automobile,16.08,2,132,108,71,186.3,2.942,16,27
24.155,Truck,18.85,2.4,150,113.3,76.8,186.3,3.528,20,24
1.872,Automobile,43,3.5,253,113.3,76.3,165.4,2.85,12,21
51.645,Automobile,21.61,2.4,150,104.1,68.4,181.9,2.906,15,27
131.097,Automobile,19.72,3.4,175,107,70.4,186.3,3.091,15.2,25
19.911,Automobile,25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25
92.364,Automobile,21.665,3.8,195,110.5,72.7,196.5,3.396,18,25
35.945,Automobile,23.755,3.8,205,112.2,72.6,202.5,3.59,17.5,24
39.572,Truck,25.635,3.4,185,120,72.7,201.3,3.942,25,23
8.982,Automobile,41.43,2.7,217,95.2,70.1,171,2.778,17,22
1.28,Automobile,71.02,3.4,300,92.6,69.5,174.5,3.032,17,21
1.866,Automobile,74.97,3.4,300,92.6,69.5,174.5,3.075,17,23
9.191,Automobile,33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23
12.115,Automobile,26.1,2,185,102.6,67.4,182.2,2.99,16.9,23
80.62,Automobile,10.685,1.9,100,102.4,66.4,176.9,2.332,12.1,33
24.546,Automobile,12.535,1.9,100,102.4,66.4,180,2.367,12.1,33
5.223,Automobile,14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31
8.472,Automobile,18.835,2.2,137,106.5,69,190.4,3.075,13.1,27
49.989,Automobile,15.01,2.2,137,106.5,69,190.4,2.91,13.1,28
47.107,Automobile,22.695,2.5,165,103.5,67.5,185.8,3.415,16.9,25
33.028,Truck,20.095,2.5,165,99.4,68.3,175.2,3.125,15.9,24
142.535,Automobile,13.108,1.8,120,97,66.7,174,2.42,13.2,33
247.994,Automobile,17.518,2.2,133,105.2,70.1,188.5,2.998,18.5,27
63.849,Automobile,25.545,3,210,107.1,71.7,191.9,3.417,18.5,26
33.269,Automobile,16.875,1.8,140,102.4,68.3,170.5,2.425,14.5,31
84.087,Truck,11.528,2.4,142,103.3,66.5,178.7,2.58,15.1,23
65.119,Truck,22.368,3,194,114.2,73.4,193.5,3.759,20.9,22
25.106,Truck,16.888,2,127,94.9,66.7,163.8,2.668,15.3,27
68.411,Truck,22.288,2.7,150,105.3,66.5,183.3,3.44,18.5,23
9.835,Truck,51.728,4.7,230,112.2,76.4,192.5,5.115,25.4,15
9.761,Automobile,14.9,2,115,98.9,68.3,163.3,2.767,14.5,26
83.721,Automobile,16.7,2,115,98.9,68.3,172.3,2.853,14.5,26
51.102,Automobile,21.2,1.8,150,106.4,68.5,184.1,3.043,16.4,27
9.569,Automobile,19.99,2,115,97.4,66.7,160.4,3.079,13.7,26
5.596,Automobile,17.5,2,115,98.9,68.3,163.3,2.762,14.6,26
49.463,Automobile,15.9,2,115,98.9,67.9,161.1,2.769,14.5,26
16.957,Automobile,23.4,1.9,160,100.5,67.6,176.6,2.998,15.8,25
3.545,Automobile,24.4,1.9,160,100.5,67.6,176.6,3.042,15.8,25
15.245,Automobile,27.5,2.4,168,104.9,69.3,185.9,3.208,17.9,25
17.531,Automobile,28.8,2.4,168,104.9,69.3,186.2,3.259,17.9,25
3.493,Automobile,45.5,2.3,236,104.9,71.5,185.7,3.601,18.5,23
18.969,Automobile,36,2.9,201,109.9,72.1,189.8,3.6,21.1,24
