gender,age,income,ed,card,jobsat,union,polview
Female,34,46,15,American Express,Somewhat satisfied,No,Slightly conservative
Male,78,14,20,Discover,Neutral,Yes,Moderate
Female,47,68,10,Visa,Highly satisfied,No,Slightly conservative
Female,60,101,19,American Express,Somewhat satisfied,No,Conservative
Female,61,121,17,Visa,Neutral,No,Slightly conservative
Female,77,19,11,Mastercard,Somewhat dissatisfied,No,Slightly liberal
Female,21,30,16,Discover,Highly dissatisfied,No,Moderate
Female,31,43,19,Discover,Highly satisfied,No,Moderate
Male,74,18,11,Other,Highly satisfied,No,Liberal
Female,27,42,20,Discover,Highly dissatisfied,No,Liberal
Male,64,327,10,American Express,Highly satisfied,No,Moderate
Male,72,30,18,Visa,Somewhat satisfied,No,Moderate
Male,66,96,16,Visa,Highly satisfied,No,Slightly conservative
Male,55,143,16,American Express,Neutral,No,Slightly conservative
Female,20,25,15,Discover,Somewhat dissatisfied,No,Moderate
Male,59,68,18,Discover,Somewhat satisfied,No,Slightly liberal
Female,69,78,8,Discover,Highly satisfied,Yes,Conservative
Female,48,70,19,Visa,Highly dissatisfied,No,Moderate
Male,60,101,13,American Express,Somewhat satisfied,No,Moderate
Female,42,36,19,Discover,Somewhat dissatisfied,No,Moderate
Female,35,65,19,Visa,Highly dissatisfied,No,Moderate
Male,24,20,10,Visa,Highly dissatisfied,No,Conservative
Female,25,40,19,American Express,Highly dissatisfied,Yes,Moderate
Male,79,58,16,Visa,Neutral,No,Moderate
Female,20,27,15,Other,Neutral,No,Moderate
Female,27,48,17,Visa,Highly dissatisfied,No,Extremely liberal
Male,53,99,12,American Express,Somewhat dissatisfied,No,Moderate
Male,57,108,14,Visa,Neutral,No,Conservative
Female,22,35,17,American Express,Highly dissatisfied,No,Moderate
Female,73,10,19,Visa,Somewhat satisfied,No,Moderate
Female,51,174,15,Discover,Somewhat satisfied,No,Moderate
Female,68,9,6,Mastercard,Highly satisfied,No,Slightly conservative
Male,69,12,13,American Express,Neutral,No,Moderate
Male,19,15,14,Mastercard,Highly dissatisfied,No,Conservative
Female,71,60,8,Visa,Somewhat satisfied,No,Moderate
Female,39,42,17,Discover,Somewhat dissatisfied,No,Liberal
Female,20,25,14,Mastercard,Highly dissatisfied,No,Moderate
Male,35,33,12,American Express,Highly satisfied,No,Moderate
Female,68,9,14,Discover,Somewhat dissatisfied,Yes,Conservative
Female,45,41,10,Visa,Somewhat satisfied,Yes,Moderate
Female,20,21,13,Visa,Highly dissatisfied,No,Extremely liberal
Female,56,104,17,Mastercard,Somewhat dissatisfied,Yes,Slightly liberal
Male,55,149,10,Mastercard,Somewhat satisfied,No,Slightly conservative
Male,40,56,12,Mastercard,Highly satisfied,No,Liberal
Female,75,20,11,Mastercard,Somewhat dissatisfied,No,Slightly liberal
Male,46,213,13,Mastercard,Highly satisfied,Yes,Extremely liberal
Female,54,140,19,Visa,Neutral,No,Slightly conservative
Female,64,19,11,Mastercard,Neutral,No,Conservative
Male,35,65,15,Mastercard,Somewhat dissatisfied,No,Slightly conservative
Female,38,45,14,American Express,Neutral,No,Moderate
Male,45,59,13,Visa,Somewhat dissatisfied,Yes,Moderate
Female,64,35,10,Discover,Neutral,No,Conservative
Male,43,70,16,Visa,Somewhat satisfied,No,Moderate
Female,59,88,17,American Express,Neutral,No,Conservative
Male,79,13,17,Mastercard,Neutral,No,Liberal
Male,44,78,18,American Express,Somewhat dissatisfied,No,Moderate
Female,51,38,17,Mastercard,Somewhat dissatisfied,No,Slightly liberal
Female,36,45,16,Discover,Somewhat satisfied,No,Slightly liberal
Male,18,19,13,Visa,Highly dissatisfied,Yes,Moderate
Female,40,31,22,Visa,Somewhat satisfied,No,Moderate
Female,78,20,15,Visa,Neutral,No,Liberal
Female,40,36,12,American Express,Somewhat dissatisfied,Yes,Conservative
Male,37,16,9,American Express,Somewhat dissatisfied,No,Slightly conservative
Male,25,20,16,American Express,Highly dissatisfied,No,Moderate
Female,72,69,15,Mastercard,Neutral,No,Conservative
Male,74,60,10,Other,Neutral,Yes,Slightly conservative
Female,70,75,12,Visa,Neutral,No,Conservative
Male,74,10,14,Discover,Somewhat satisfied,No,Extremely liberal
Male,62,115,8,Visa,Highly dissatisfied,No,Moderate
Female,77,15,15,Mastercard,Highly satisfied,No,Moderate
Female,28,33,14,Mastercard,Somewhat satisfied,No,Conservative
Female,42,67,15,Discover,Highly satisfied,No,Liberal
Male,44,89,16,Discover,Neutral,No,Slightly liberal
Female,49,118,15,Visa,Somewhat satisfied,No,Moderate
Male,49,35,10,American Express,Neutral,No,Conservative
Female,66,9,14,Visa,Somewhat dissatisfied,No,Moderate
Male,33,31,11,Mastercard,Somewhat dissatisfied,No,Slightly conservative
Male,34,36,20,Discover,Neutral,No,Slightly conservative
Male,35,81,15,American Express,Highly dissatisfied,No,Slightly liberal
Female,77,9,13,Discover,Somewhat dissatisfied,No,Liberal
Female,32,35,11,Visa,Highly satisfied,No,Conservative
Male,44,33,9,Visa,Somewhat satisfied,No,Moderate
Male,71,179,14,Discover,Highly satisfied,No,Slightly liberal
Female,20,15,13,Discover,Highly dissatisfied,No,Slightly conservative
Female,70,64,19,Discover,Neutral,No,Liberal
Female,28,47,18,Visa,Neutral,No,Liberal
Male,43,39,16,Visa,Somewhat dissatisfied,No,Moderate
Female,70,10,13,Other,Highly satisfied,No,Liberal
Female,65,116,11,Mastercard,Neutral,No,Conservative
Female,76,20,16,Discover,Somewhat satisfied,No,Moderate
Female,67,97,14,Discover,Highly satisfied,No,Conservative
Female,57,149,9,Discover,Highly satisfied,No,Slightly conservative
Male,66,65,18,American Express,Highly satisfied,No,Moderate
Female,67,10,15,Visa,Highly satisfied,No,Liberal
Male,18,19,13,Mastercard,Somewhat dissatisfied,No,Liberal
Female,58,30,13,Visa,Somewhat satisfied,No,Moderate
Male,64,57,22,Discover,Somewhat dissatisfied,No,Liberal
Female,42,124,13,Mastercard,Somewhat satisfied,No,Conservative
Female,59,67,10,Other,Highly satisfied,No,Moderate
Female,62,207,18,Visa,Highly satisfied,Yes,Slightly liberal
Female,38,40,21,Discover,Neutral,No,Moderate
Female,45,54,20,Discover,Highly dissatisfied,No,Slightly liberal
Male,37,67,19,Visa,Neutral,No,Slightly conservative
Female,32,40,13,Visa,Somewhat satisfied,No,Slightly liberal
Male,40,93,19,Mastercard,Neutral,Yes,Moderate
Female,27,19,12,Mastercard,Highly dissatisfied,No,Slightly liberal
Female,46,149,15,Discover,Highly satisfied,No,Moderate
Female,55,55,16,Discover,Somewhat satisfied,No,Moderate
Male,26,25,13,Mastercard,Highly satisfied,No,Extremely liberal
Male,70,63,9,American Express,Somewhat satisfied,No,Slightly conservative
Male,43,64,13,American Express,Neutral,No,Conservative
Female,25,15,12,Other,Somewhat dissatisfied,No,Slightly conservative
Female,59,182,21,Mastercard,Somewhat dissatisfied,No,Moderate
Male,35,35,20,American Express,Somewhat dissatisfied,No,Extremely liberal
Male,22,20,12,Other,Somewhat satisfied,No,Extremely liberal
Male,53,52,22,American Express,Highly satisfied,No,Extremely liberal
Female,45,66,17,American Express,Somewhat dissatisfied,No,Slightly conservative
Male,49,46,14,American Express,Somewhat dissatisfied,No,Conservative
Female,29,39,17,Mastercard,Somewhat dissatisfied,No,Extremely liberal
Male,20,22,14,Mastercard,Highly dissatisfied,No,Liberal
Female,57,47,14,Discover,Highly dissatisfied,No,Moderate
Male,74,108,11,Mastercard,Highly satisfied,No,Slightly liberal
Female,32,21,16,Mastercard,Neutral,No,Extremely liberal
Female,76,149,18,American Express,Somewhat satisfied,Yes,Extremely conservative
Female,41,52,12,Mastercard,Somewhat satisfied,No,Conservative
Male,47,78,14,Visa,Highly dissatisfied,No,Moderate
Female,36,34,11,Visa,Neutral,No,Slightly conservative
Male,77,19,7,Other,Neutral,No,Slightly conservative
Male,78,44,19,American Express,Somewhat dissatisfied,Yes,Slightly liberal
Male,42,36,12,Visa,Somewhat dissatisfied,No,Slightly liberal
Female,63,44,12,American Express,Somewhat satisfied,No,Conservative
Female,20,20,15,Visa,Highly dissatisfied,No,Moderate
Female,30,37,10,Other,Somewhat dissatisfied,No,Conservative
Male,18,19,11,American Express,Highly dissatisfied,Yes,Conservative
Female,26,19,16,Discover,Somewhat dissatisfied,No,Slightly liberal
Male,66,42,15,Mastercard,Highly satisfied,No,Slightly conservative
Female,64,54,15,American Express,Somewhat dissatisfied,No,Slightly conservative
Female,34,37,17,Mastercard,Highly dissatisfied,No,Moderate
Male,22,15,13,Mastercard,Highly dissatisfied,No,Slightly conservative
Female,35,50,17,American Express,Neutral,No,Moderate
Female,53,132,11,Visa,Neutral,Yes,Slightly conservative
Male,46,102,17,Discover,Highly satisfied,No,Slightly conservative
Female,62,136,11,American Express,Highly satisfied,Yes,Conservative
Female,21,14,16,Mastercard,Somewhat satisfied,Yes,Moderate
Male,64,88,9,Visa,Highly satisfied,No,Slightly conservative
Female,76,13,10,Visa,Somewhat satisfied,No,Extremely liberal
Male,74,9,12,American Express,Somewhat satisfied,No,Liberal
Male,35,17,9,Other,Somewhat dissatisfied,No,Slightly liberal
Male,29,22,12,Discover,Neutral,Yes,Moderate
Male,36,48,21,Mastercard,Neutral,No,Liberal
Male,32,42,16,Visa,Somewhat satisfied,No,Conservative
Male,64,35,16,Visa,Somewhat dissatisfied,No,Moderate
Male,54,38,15,Mastercard,Somewhat dissatisfied,No,Slightly liberal
Female,62,66,17,Discover,Somewhat dissatisfied,No,Moderate
Female,18,19,13,Other,Somewhat dissatisfied,No,Slightly conservative
Female,79,10,12,Mastercard,Somewhat dissatisfied,No,Liberal
Male,70,21,14,Discover,Neutral,No,Conservative
Male,42,114,17,Discover,Somewhat satisfied,No,Slightly conservative
Female,69,41,10,Mastercard,Somewhat satisfied,No,Conservative
Female,24,23,18,American Express,Highly dissatisfied,No,Moderate
Male,26,21,16,Discover,Somewhat satisfied,No,Conservative
Female,61,110,13,Discover,Somewhat satisfied,No,Moderate
Female,36,29,19,Visa,Somewhat dissatisfied,No,Moderate
Female,68,102,11,American Express,Neutral,No,Liberal
Male,35,22,14,Discover,Highly dissatisfied,No,Slightly conservative
Female,55,42,10,Visa,Neutral,Yes,Slightly conservative
Female,49,36,12,Visa,Somewhat dissatisfied,No,Moderate
Male,20,19,11,Discover,Highly dissatisfied,No,Slightly conservative
Male,25,31,19,Mastercard,Somewhat satisfied,No,Conservative
Female,47,66,11,American Express,Neutral,Yes,Conservative
Male,66,23,13,Visa,Somewhat dissatisfied,Yes,Moderate
Female,18,15,13,Mastercard,Somewhat dissatisfied,No,Slightly liberal
Male,25,21,10,Discover,Somewhat satisfied,No,Extremely conservative
Female,68,237,16,Mastercard,Neutral,Yes,Moderate
Male,61,32,18,Visa,Highly satisfied,Yes,Moderate
Male,49,208,15,American Express,Somewhat satisfied,No,Slightly conservative
Female,26,82,17,Mastercard,Highly satisfied,No,Liberal
Female,62,182,13,Other,Neutral,No,Moderate
Male,20,17,15,American Express,Highly dissatisfied,No,Moderate
Female,74,62,9,Discover,Somewhat satisfied,No,Conservative
Female,30,30,15,Visa,Neutral,No,Conservative
Female,64,18,11,Discover,Highly dissatisfied,No,Moderate
Male,22,20,16,American Express,Highly dissatisfied,Yes,Moderate
Male,30,109,17,American Express,Somewhat satisfied,No,Extremely conservative
Male,66,88,9,Visa,Highly satisfied,No,Conservative
Male,42,46,11,American Express,Somewhat satisfied,No,Conservative
Female,27,22,9,Visa,Highly dissatisfied,Yes,Conservative
Male,45,58,23,Discover,Highly dissatisfied,No,Conservative
Female,75,28,16,Mastercard,Somewhat satisfied,No,Conservative
Male,43,127,17,Mastercard,Somewhat satisfied,Yes,Extremely liberal
Female,35,51,15,American Express,Highly dissatisfied,No,Slightly conservative
Female,31,29,13,Discover,Highly satisfied,No,Slightly liberal
Male,70,141,18,Visa,Highly satisfied,No,Conservative
Male,22,20,17,Discover,Somewhat dissatisfied,No,Slightly conservative
Male,69,64,17,American Express,Somewhat satisfied,No,Conservative
Male,42,30,17,Visa,Highly satisfied,No,Slightly conservative
Female,57,19,8,Other,Highly satisfied,No,Slightly conservative
Male,43,22,18,American Express,Highly satisfied,No,Liberal
Female,56,79,14,Discover,Neutral,No,Slightly conservative
Female,65,55,13,Visa,Highly satisfied,No,Conservative
Female,66,350,14,American Express,Highly satisfied,No,Conservative
Male,42,81,12,American Express,Highly dissatisfied,Yes,Liberal
Female,78,17,16,Visa,Somewhat dissatisfied,No,Moderate
Female,24,30,16,Mastercard,Highly dissatisfied,No,Liberal
Female,68,10,13,Visa,Highly satisfied,No,Slightly conservative
Female,23,26,16,American Express,Highly dissatisfied,No,Moderate
Female,22,23,11,Visa,Highly dissatisfied,No,Extremely liberal
Female,52,50,8,Other,Highly satisfied,No,Slightly conservative
Male,26,21,12,Discover,Highly dissatisfied,No,Slightly conservative
Female,32,22,13,Mastercard,Somewhat satisfied,No,Slightly conservative
Male,49,60,16,Visa,Highly satisfied,No,Slightly conservative
Male,55,101,17,Discover,Highly satisfied,No,Slightly conservative
Male,42,65,15,American Express,Neutral,No,Moderate
Female,65,32,11,Visa,Neutral,No,Conservative
Male,19,25,12,Visa,Neutral,No,Liberal
Female,39,34,18,Mastercard,Somewhat satisfied,No,Moderate
Female,25,37,18,Discover,Highly dissatisfied,No,Liberal
Male,23,31,15,Discover,Highly dissatisfied,No,Slightly liberal
Male,30,19,16,Visa,Highly dissatisfied,No,Extremely liberal
Female,50,59,14,American Express,Highly dissatisfied,No,Conservative
Male,49,37,13,Mastercard,Highly satisfied,No,Moderate
Male,32,30,10,Discover,Highly dissatisfied,No,Liberal
Male,45,83,19,Visa,Somewhat satisfied,No,Moderate
Female,34,31,18,Discover,Highly dissatisfied,No,Slightly liberal
Female,19,43,14,Mastercard,Highly dissatisfied,No,Slightly liberal
Female,22,19,17,Visa,Highly dissatisfied,No,Moderate
Female,30,64,16,Mastercard,Highly dissatisfied,No,Moderate
Male,46,24,16,Visa,Somewhat satisfied,No,Liberal
Male,51,24,18,Visa,Neutral,No,Slightly conservative
Female,52,33,16,Discover,Somewhat satisfied,No,Moderate
Female,27,17,18,Mastercard,Highly dissatisfied,Yes,Liberal
Female,38,37,10,Visa,Neutral,No,Slightly liberal
Female,18,21,13,Discover,Neutral,No,Moderate
Female,21,29,14,Mastercard,Somewhat dissatisfied,No,Conservative
Male,42,34,14,Discover,Somewhat satisfied,No,Moderate
Male,68,15,10,Visa,Highly satisfied,No,Liberal
Male,56,43,13,Mastercard,Neutral,Yes,Slightly conservative
Female,31,78,18,Visa,Neutral,No,Slightly liberal
Male,18,19,13,Mastercard,Highly dissatisfied,No,Slightly conservative
Male,32,29,12,Discover,Somewhat satisfied,No,Slightly liberal
Male,79,9,12,Mastercard,Neutral,No,Moderate
Male,64,66,21,Discover,Somewhat dissatisfied,No,Moderate
Female,53,32,12,Mastercard,Somewhat satisfied,No,Moderate
Male,40,42,14,American Express,Somewhat satisfied,Yes,Moderate
Male,39,50,17,Mastercard,Somewhat dissatisfied,No,Conservative
Female,49,50,16,Discover,Somewhat dissatisfied,No,Slightly liberal
Female,75,74,15,Mastercard,Somewhat satisfied,No,Moderate
Male,29,20,13,Visa,Somewhat satisfied,Yes,Conservative
Male,32,36,16,Discover,Neutral,Yes,Moderate
Male,23,64,15,Visa,Highly dissatisfied,No,Moderate
Female,79,9,12,American Express,Somewhat satisfied,No,Slightly liberal
Female,74,16,11,Visa,Neutral,No,Conservative
Male,38,76,16,Mastercard,Neutral,No,Slightly conservative
Male,44,66,11,Other,Somewhat satisfied,No,Conservative
Male,68,11,13,American Express,Neutral,No,Moderate
Female,19,13,14,American Express,Highly dissatisfied,No,Slightly conservative
Male,28,55,20,Visa,Highly dissatisfied,No,Slightly liberal
Female,65,28,17,Visa,Highly dissatisfied,No,Slightly conservative
Female,60,191,15,Visa,Neutral,No,Liberal
Male,29,71,19,American Express,Highly dissatisfied,No,Slightly conservative
Female,72,17,15,Mastercard,Somewhat dissatisfied,No,Moderate
Female,48,27,15,Discover,Highly dissatisfied,Yes,Moderate
Male,33,53,14,Mastercard,Highly dissatisfied,No,Moderate
Male,26,37,15,Discover,Highly dissatisfied,No,Slightly conservative
Male,75,21,11,Mastercard,Somewhat satisfied,No,Moderate
Female,29,47,17,Discover,Neutral,No,Slightly liberal
Male,30,30,18,Discover,Highly dissatisfied,No,Conservative
Male,74,9,21,Discover,Highly dissatisfied,No,Extremely liberal
Female,24,18,11,Mastercard,Highly dissatisfied,No,Conservative
Male,64,69,11,Mastercard,Highly satisfied,No,Slightly conservative
Male,74,51,16,Visa,Somewhat satisfied,Yes,Liberal
Female,61,35,16,Visa,Highly dissatisfied,No,Liberal
Female,20,28,15,American Express,Highly dissatisfied,No,Slightly liberal
Female,64,143,8,Discover,Highly satisfied,No,Conservative
Female,66,80,16,Discover,Highly dissatisfied,No,Conservative
Female,59,18,17,Mastercard,Somewhat satisfied,No,Moderate
Female,54,41,12,Mastercard,Neutral,No,Moderate
Female,55,32,13,Discover,Somewhat dissatisfied,No,Conservative
Male,71,310,17,American Express,Neutral,Yes,Slightly liberal
Male,55,182,17,Discover,Somewhat dissatisfied,No,Moderate
Male,44,154,14,Discover,Somewhat satisfied,No,Moderate
Male,63,49,14,American Express,Somewhat satisfied,No,Slightly liberal
Male,61,143,11,Mastercard,Neutral,No,Slightly conservative
Female,32,25,14,Mastercard,Neutral,No,Moderate
Female,19,19,14,Visa,Somewhat dissatisfied,Yes,Slightly liberal
Male,41,31,20,Discover,Neutral,No,Moderate
Male,68,10,21,Visa,Highly satisfied,No,Moderate
Female,18,19,10,Other,Highly dissatisfied,No,Slightly conservative
Female,54,83,12,Visa,Somewhat satisfied,Yes,Extremely conservative
Female,52,165,15,Visa,Highly satisfied,No,Liberal
Female,70,117,18,Visa,Somewhat satisfied,No,Moderate
Female,43,43,11,Discover,Neutral,No,Conservative
Female,77,58,14,Mastercard,Somewhat satisfied,Yes,Moderate
Male,52,27,17,Discover,Neutral,No,Slightly liberal
Female,30,40,17,Discover,Highly satisfied,Yes,Extremely conservative
Female,55,143,17,Mastercard,Somewhat satisfied,No,Moderate
Female,54,118,17,American Express,Somewhat satisfied,No,Slightly liberal
Female,31,18,17,Visa,Neutral,No,Moderate
Female,60,20,17,American Express,Highly satisfied,No,Conservative
Female,49,31,11,American Express,Somewhat dissatisfied,No,Slightly liberal
Female,39,36,17,Visa,Somewhat dissatisfied,No,Liberal
Female,25,13,14,American Express,Somewhat dissatisfied,No,Moderate
Male,74,11,14,Mastercard,Highly satisfied,No,Conservative
Male,46,43,14,Visa,Somewhat dissatisfied,No,Moderate
Male,33,25,8,Mastercard,Somewhat satisfied,No,Liberal
Male,26,36,19,American Express,Neutral,No,Conservative
Male,62,11,14,Visa,Highly satisfied,No,Extremely conservative
Female,22,36,17,Visa,Somewhat satisfied,No,Moderate
Male,43,42,20,Discover,Highly satisfied,No,Moderate
Male,62,48,11,Visa,Highly satisfied,No,Moderate
Female,51,31,10,Discover,Somewhat satisfied,No,Moderate
Male,37,16,13,Visa,Somewhat dissatisfied,No,Moderate
Female,57,47,20,Discover,Neutral,Yes,Liberal
Male,75,14,13,Visa,Somewhat satisfied,Yes,Slightly conservative
Male,68,47,13,Discover,Neutral,No,Moderate
Male,55,181,17,Discover,Somewhat satisfied,No,Conservative
Female,39,92,19,Visa,Highly dissatisfied,No,Liberal
Female,31,33,18,Discover,Somewhat satisfied,No,Liberal
Female,74,13,12,Mastercard,Somewhat dissatisfied,No,Moderate
Female,72,43,15,Mastercard,Neutral,No,Liberal
Female,31,34,14,Mastercard,Neutral,No,Slightly liberal
Male,71,193,20,Discover,Neutral,Yes,Slightly conservative
Female,27,33,15,Visa,Neutral,No,Moderate
Male,58,54,13,Mastercard,Somewhat satisfied,No,Slightly conservative
Female,42,117,12,Other,Somewhat satisfied,Yes,Moderate
Female,60,73,11,Mastercard,Highly satisfied,Yes,Moderate
Male,44,33,20,American Express,Neutral,No,Slightly conservative
Female,70,102,14,American Express,Somewhat satisfied,No,Moderate
Male,67,103,17,Visa,Highly satisfied,No,Liberal
Male,49,36,15,Discover,Neutral,No,Moderate
Female,44,64,16,Mastercard,Neutral,No,Moderate
Female,27,30,16,American Express,Neutral,Yes,Moderate
Female,54,74,13,American Express,Highly satisfied,No,Slightly liberal
Female,52,81,15,American Express,Somewhat satisfied,No,Slightly conservative
Male,26,37,20,Other,Neutral,No,Moderate
Male,45,63,14,Discover,Highly satisfied,Yes,Moderate
Female,20,23,15,Visa,Highly dissatisfied,No,Conservative
Male,62,20,16,Discover,Somewhat dissatisfied,No,Slightly liberal
Male,25,24,13,American Express,Highly dissatisfied,Yes,Conservative
Female,34,37,12,American Express,Neutral,No,Slightly conservative
Male,60,33,12,Mastercard,Somewhat satisfied,No,Liberal
Male,62,45,9,Visa,Somewhat dissatisfied,No,Liberal
Male,56,54,13,Discover,Highly satisfied,No,Moderate
Male,39,71,15,Mastercard,Neutral,Yes,Slightly conservative
Male,35,51,16,Other,Somewhat dissatisfied,No,Slightly conservative
Female,30,26,14,Discover,Highly dissatisfied,No,Slightly conservative
Female,27,70,15,Discover,Highly dissatisfied,No,Slightly conservative
Male,60,30,13,American Express,Somewhat satisfied,Yes,Liberal
Male,61,105,9,American Express,Somewhat satisfied,Yes,Slightly conservative
Male,55,259,13,American Express,Highly satisfied,No,Moderate
Male,26,40,16,Visa,Somewhat dissatisfied,No,Slightly liberal
Male,71,25,13,Discover,Highly satisfied,Yes,Moderate
Female,66,49,13,Visa,Somewhat satisfied,No,Slightly conservative
Male,36,55,22,Visa,Highly satisfied,No,Moderate
Male,67,65,14,Visa,Somewhat dissatisfied,No,Moderate
Male,54,24,14,Mastercard,Highly satisfied,Yes,Liberal
Male,66,9,20,Mastercard,Somewhat satisfied,No,Moderate
Male,27,22,12,Discover,Neutral,No,Conservative
Male,33,98,20,American Express,Neutral,No,Slightly liberal
Female,26,30,15,Mastercard,Somewhat dissatisfied,Yes,Slightly conservative
Female,37,57,11,Mastercard,Somewhat satisfied,No,Moderate
Male,61,28,14,American Express,Highly satisfied,No,Moderate
Male,75,63,15,American Express,Somewhat satisfied,No,Slightly liberal
Male,46,53,12,Discover,Highly dissatisfied,No,Slightly liberal
Male,36,29,14,Visa,Neutral,No,Moderate
Female,51,56,16,Mastercard,Highly satisfied,Yes,Slightly conservative
Male,55,208,20,Discover,Somewhat satisfied,Yes,Moderate
Male,58,15,13,Visa,Highly satisfied,No,Liberal
Female,38,55,16,Discover,Highly dissatisfied,Yes,Conservative
Male,40,101,18,Visa,Highly dissatisfied,Yes,Slightly conservative
Male,26,19,14,American Express,Neutral,Yes,Moderate
Male,21,19,13,American Express,Highly dissatisfied,Yes,Extremely liberal
Male,19,32,14,Discover,Highly dissatisfied,No,Slightly conservative
Male,32,19,15,American Express,Highly dissatisfied,No,Slightly conservative
Female,42,78,17,Discover,Somewhat satisfied,No,Slightly liberal
Female,55,91,18,American Express,Neutral,No,Extremely liberal
Male,59,78,11,Mastercard,Highly satisfied,No,Conservative
Female,25,45,18,American Express,Highly dissatisfied,No,Liberal
Male,57,293,14,Discover,Somewhat satisfied,No,Conservative
Female,47,29,13,American Express,Neutral,No,Liberal
Female,28,25,16,American Express,Somewhat dissatisfied,No,Slightly conservative
